plan_id,source_type,source_id,role,evidence_type,confidence,source_line
1,transcript,transcript-2026-02-27-1-1-FLACBridgeExecution,header-reference,exact-reference,1.0,4
1,transcript,transcript-2026-02-27-1-1-FLACBridgeExecution,filename-reference,plan-number,0.8,1
2,transcript,transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md,header-reference,exact-reference,1.0,4
2,transcript,transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md,filename-reference,plan-number,0.8,1
4,transcript,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,header-reference,exact-reference,1.0,4
4,transcript,transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan,filename-reference,plan-number,0.8,1
5,transcript,transcript-2026-03-07-1-5-AddSaveNotificationsPlan,header-reference,exact-reference,1.0,4
5,transcript,transcript-2026-03-07-1-5-AddSaveNotificationsPlan,filename-reference,plan-number,0.8,1
6,transcript,transcript-2026-03-07-2-6-AgentsTranscriptSkillPlan,header-reference,exact-reference,1.0,4
6,transcript,transcript-2026-03-07-2-6-AgentsTranscriptSkillPlan,filename-reference,plan-number,0.8,1
7,transcript,transcript-2026-03-12-1-7-AddSaveStatusViewPlan,header-reference,exact-reference,1.0,4
7,transcript,transcript-2026-03-12-1-7-AddSaveStatusViewPlan,filename-reference,plan-number,0.8,1
8,transcript,transcript-2026-03-13-1-8-AddTrackStatusPlan,header-reference,exact-reference,1.0,4
8,transcript,transcript-2026-03-13-1-8-AddTrackStatusPlan,filename-reference,plan-number,0.8,1
8,transcript,transcript-2026-03-14-1-8-AddTrackStatusPlan,header-reference,exact-reference,1.0,4
8,transcript,transcript-2026-03-14-1-8-AddTrackStatusPlan,filename-reference,plan-number,0.8,1
9,transcript,transcript-2026-03-17-1-9-AddUIFeedbackSettings,header-reference,exact-reference,1.0,4
9,transcript,transcript-2026-03-17-1-9-AddUIFeedbackSettings,filename-reference,plan-number,0.8,1
9,transcript,transcript-2026-03-17-2-9-AddUIFeedbackSettings,header-reference,exact-reference,1.0,4
9,transcript,transcript-2026-03-17-2-9-AddUIFeedbackSettings,filename-reference,plan-number,0.8,1
9,transcript,transcript-2026-03-18-1-9-AddUIFeedbackSettings,header-reference,exact-reference,1.0,4
9,transcript,transcript-2026-03-18-1-9-AddUIFeedbackSettings,filename-reference,plan-number,0.8,1
10,transcript,transcript-2026-03-19-1-10-AddTrackManagement,header-reference,exact-reference,1.0,4
10,transcript,transcript-2026-03-19-1-10-AddTrackManagement,filename-reference,plan-number,0.8,1
11,transcript,transcript-2026-03-21-1-11-AddMultiPicturePerTrackSupport,header-reference,exact-reference,1.0,4
11,transcript,transcript-2026-03-21-1-11-AddMultiPicturePerTrackSupport,filename-reference,plan-number,0.8,1
11,transcript,transcript-2026-03-22-1-11-AddMultiPicturePerTrackSupport,header-reference,exact-reference,1.0,4
11,transcript,transcript-2026-03-22-1-11-AddMultiPicturePerTrackSupport,header-reference,exact-reference,1.0,4
11,transcript,transcript-2026-03-22-1-11-AddMultiPicturePerTrackSupport,filename-reference,plan-number,0.8,1
11,transcript,transcript-2026-03-23-1-11-AddMultiPicturePerTrackSupport,header-reference,exact-reference,1.0,4
11,transcript,transcript-2026-03-23-1-11-AddMultiPicturePerTrackSupport,header-reference,exact-reference,1.0,4
11,transcript,transcript-2026-03-23-1-11-AddMultiPicturePerTrackSupport,header-reference,exact-reference,1.0,4
11,transcript,transcript-2026-03-23-1-11-AddMultiPicturePerTrackSupport,filename-reference,plan-number,0.8,1
11,transcript,transcript-2026-03-24-1-11-AddMultiPicturePerTrackSupport,header-reference,exact-reference,1.0,4
11,transcript,transcript-2026-03-24-1-11-AddMultiPicturePerTrackSupport,header-reference,exact-reference,1.0,4
11,transcript,transcript-2026-03-24-1-11-AddMultiPicturePerTrackSupport,header-reference,exact-reference,1.0,4
11,transcript,transcript-2026-03-24-1-11-AddMultiPicturePerTrackSupport,header-reference,exact-reference,1.0,4
11,transcript,transcript-2026-03-24-1-11-AddMultiPicturePerTrackSupport,filename-reference,plan-number,0.8,1
11,transcript,transcript-2026-03-26-1-11-AddMultiPicturePerTrackSupport,header-reference,exact-reference,1.0,4
11,transcript,transcript-2026-03-26-1-11-AddMultiPicturePerTrackSupport,header-reference,exact-reference,1.0,4
11,transcript,transcript-2026-03-26-1-11-AddMultiPicturePerTrackSupport,header-reference,exact-reference,1.0,4
11,transcript,transcript-2026-03-26-1-11-AddMultiPicturePerTrackSupport,header-reference,exact-reference,1.0,4
11,transcript,transcript-2026-03-26-1-11-AddMultiPicturePerTrackSupport,filename-reference,plan-number,0.8,1
12,transcript,transcript-2026-03-31-1-12-AddFLACDocumentOpenSupport,header-reference,exact-reference,1.0,4
12,transcript,transcript-2026-03-31-1-12-AddFLACDocumentOpenSupport,filename-reference,plan-number,0.8,1
13,transcript,transcript-2026-04-01-1-13-AddFLACFingerprintSupport,header-reference,exact-reference,1.0,4
13,transcript,transcript-2026-04-01-1-13-AddFLACFingerprintSupport,filename-reference,plan-number,0.8,1
14,transcript,transcript-2026-04-02-1-14-AddCompilationTag,header-reference,exact-reference,1.0,4
14,transcript,transcript-2026-04-02-1-14-AddCompilationTag,filename-reference,plan-number,0.8,1
15,transcript,transcript-2026-04-02-1-15-AddSwiftTagDocumentCreation,header-reference,exact-reference,1.0,4
15,transcript,transcript-2026-04-02-1-15-AddSwiftTagDocumentCreation,filename-reference,plan-number,0.8,1
16,transcript,transcript-2026-04-04-1-16-AddSwiftTagDocumentRead,header-reference,exact-reference,1.0,4
16,transcript,transcript-2026-04-04-1-16-AddSwiftTagDocumentRead,filename-reference,plan-number,0.8,1
16,transcript,transcript-2026-04-04-1-17-SwiftTagDocumentReadLiveFileResolution,header-reference,exact-reference,1.0,4
17,transcript,transcript-2026-04-04-1-17-SwiftTagDocumentReadLiveFileResolution,header-reference,exact-reference,1.0,4
17,transcript,transcript-2026-04-04-1-17-SwiftTagDocumentReadLiveFileResolution,filename-reference,plan-number,0.8,1
16,transcript,transcript-2026-04-05-1-SwiftTagDocumentReopenFix,header-reference,exact-reference,1.0,4
18,transcript,transcript-2026-04-06-1-18-UpdateWindowTitleText,header-reference,exact-reference,1.0,4
18,transcript,transcript-2026-04-06-1-18-UpdateWindowTitleText,filename-reference,plan-number,0.8,1
19,transcript,transcript-2026-04-07-3-19-AddSwiftTagDocumentSaveOptions,header-reference,exact-reference,1.0,4
20,transcript,transcript-2026-04-07-3-19-AddSwiftTagDocumentSaveOptions,header-reference,exact-reference,1.0,4
22,transcript,transcript-2026-04-07-3-19-AddSwiftTagDocumentSaveOptions,header-reference,exact-reference,1.0,4
19,transcript,transcript-2026-04-07-3-19-AddSwiftTagDocumentSaveOptions,filename-reference,plan-number,0.8,1
20,transcript,transcript-2026-04-08-1-20-AddSwiftTagDocumentSaveOptions,header-reference,exact-reference,1.0,4
19,transcript,transcript-2026-04-08-1-20-AddSwiftTagDocumentSaveOptions,header-reference,exact-reference,1.0,4
22,transcript,transcript-2026-04-08-1-20-AddSwiftTagDocumentSaveOptions,header-reference,exact-reference,1.0,4
20,transcript,transcript-2026-04-08-1-20-AddSwiftTagDocumentSaveOptions,filename-reference,plan-number,0.8,1
21,transcript,transcript-2026-04-09-2-21-AddSwiftTagDocumentBookmark,header-reference,exact-reference,1.0,4
21,transcript,transcript-2026-04-09-2-21-AddSwiftTagDocumentBookmark,filename-reference,plan-number,0.8,1
22,transcript,transcript-2026-04-10-2-22-AddSwiftTagDocumentSaveOptions,header-reference,exact-reference,1.0,4
19,transcript,transcript-2026-04-10-2-22-AddSwiftTagDocumentSaveOptions,header-reference,exact-reference,1.0,4
20,transcript,transcript-2026-04-10-2-22-AddSwiftTagDocumentSaveOptions,header-reference,exact-reference,1.0,4
22,transcript,transcript-2026-04-10-2-22-AddSwiftTagDocumentSaveOptions,filename-reference,plan-number,0.8,1
23,transcript,transcript-2026-04-11-1-23-AddSwiftTagDocumentQuickLook,header-reference,exact-reference,1.0,4
23,transcript,transcript-2026-04-11-1-23-AddSwiftTagDocumentQuickLook,filename-reference,plan-number,0.8,1
24,transcript,transcript-2026-04-12-1-24-AddTrackDurationInfo,header-reference,exact-reference,1.0,4
24,transcript,transcript-2026-04-12-1-24-AddTrackDurationInfo,filename-reference,plan-number,0.8,1
25,transcript,transcript-2026-04-14-1-25-AddPictureDescriptionEdit,header-reference,exact-reference,1.0,4
25,transcript,transcript-2026-04-14-1-25-AddPictureDescriptionEdit,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-04-18-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-04-18-1-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-04-20-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-04-20-1-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-04-21-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-04-21-1-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-04-22-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-04-22-1-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-04-22-2-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-04-22-2-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-04-23-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-04-23-1-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-04-23-2-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-04-23-2-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-04-24-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-04-24-1-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-04-28-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-04-28-1-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-04-28-2-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-04-28-2-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-04-29-1-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-04-29-1-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
26,transcript,transcript-2026-04-29-2-26-AddAppleScriptSupport,header-reference,exact-reference,1.0,4
26,transcript,transcript-2026-04-29-2-26-AddAppleScriptSupport,filename-reference,plan-number,0.8,1
