documentation_id,path,title,heading_text,link_count,line_count,linked_theme_ids,linked_commit_ids
docs-userdocumentation-automation-applescript-add-html,Docs/UserDocumentation/automation/applescript-add.html,AppleScript Add Command - SwiftTag Documentation,AppleScript add command; Definition; Targets; Parameters; Examples,18,150,[],[]
docs-userdocumentation-automation-applescript-application-html,Docs/UserDocumentation/automation/applescript-application.html,AppleScript Application Class - SwiftTag Documentation,AppleScript application class; Definition; Elements; Properties; Responds To; Examples,37,405,[],[]
docs-userdocumentation-automation-applescript-close-html,Docs/UserDocumentation/automation/applescript-close.html,AppleScript Close Command - SwiftTag Documentation,AppleScript close command; Definition; Targets; Parameters; Save Options; Examples,17,206,[],[]
docs-userdocumentation-automation-applescript-delete-html,Docs/UserDocumentation/automation/applescript-delete.html,AppleScript Delete Command - SwiftTag Documentation,AppleScript delete command; Definition; Targets; Parameters; Examples,23,164,[],[]
docs-userdocumentation-automation-applescript-document-html,Docs/UserDocumentation/automation/applescript-document.html,AppleScript Document Class - SwiftTag Documentation,AppleScript document class; Definition; Access; Properties; Responds To; Examples,18,185,"[""swifttag-document""]",[]
docs-userdocumentation-automation-applescript-enumerations-html,Docs/UserDocumentation/automation/applescript-enumerations.html,AppleScript Enumerations - SwiftTag Documentation,AppleScript enumerations; save options; save scope options; save payload options; flac picture type; track total key setting; disc total key setting; save notifications setting; theme setting; track sort options,28,539,[],[]
docs-userdocumentation-automation-applescript-examples-html,Docs/UserDocumentation/automation/applescript-examples.html,AppleScript Examples - SwiftTag Documentation,AppleScript examples,10,62,[],[]
docs-userdocumentation-automation-applescript-make-html,Docs/UserDocumentation/automation/applescript-make.html,AppleScript Make Command - SwiftTag Documentation,AppleScript make command; Definition; Targets; Parameters; Examples,26,180,[],[]
docs-userdocumentation-automation-applescript-open-settings-window-html,Docs/UserDocumentation/automation/applescript-open-settings-window.html,AppleScript Open Settings Window Command - SwiftTag Documentation,AppleScript open settings window command; Definition; Target; Examples,15,92,[],[]
docs-userdocumentation-automation-applescript-open-html,Docs/UserDocumentation/automation/applescript-open.html,AppleScript Open Command - SwiftTag Documentation,AppleScript open command; Definition; Target; Parameters; Examples,16,116,[],[]
docs-userdocumentation-automation-applescript-picture-html,Docs/UserDocumentation/automation/applescript-picture.html,AppleScript Picture Class - SwiftTag Documentation,AppleScript picture class; Definition; Access; Contents; Properties; Examples,21,302,"[""picture""]",[]
docs-userdocumentation-automation-applescript-quit-html,Docs/UserDocumentation/automation/applescript-quit.html,AppleScript Quit Command - SwiftTag Documentation,AppleScript quit command; Definition; Target; Examples,13,91,[],[]
docs-userdocumentation-automation-applescript-record-types-html,Docs/UserDocumentation/automation/applescript-record-types.html,AppleScript Record Types - SwiftTag Documentation,AppleScript record types; point; rectangle; color,18,219,[],[]
docs-userdocumentation-automation-applescript-save-html,Docs/UserDocumentation/automation/applescript-save.html,AppleScript Save Command - SwiftTag Documentation,AppleScript save command; Definition; Targets; Parameters; Scope And Payload Options; Examples,16,196,[],[]
